productID,productCategory,productName,productWeight,width,height
140,Food,Chocolate Mini Bar,0.05,5,2
141,Electronics,Mini Camera,0.3,8,5
142,Electronics,USB Cable Mini,0.02,2,1
143,Electronics,Portable Charger Small,0.15,6,10
144,Electronics,Wireless Earbuds Case,0.05,4,4
145,Electronics,Memory Stick Small,0.02,2,1
146,Apparel,Beanie Cap,0.1,15,5
147,Apparel,Scarf Mini,0.05,12,2
148,Apparel,Socks Pair Mini,0.05,8,2
149,Apparel,Gloves Mini,0.05,10,3
150,Household,Sponges Mini Pack,0.05,10,2
